username;date;retweets;favorites;text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vrbaskibranimir;2015/11/21;0;1;"Sud usvojio zahtev Andreja Vučića, Asomakum ništavan http://bit.ly/1YlSRY4  via @N1infoBG JEBE I SUDSTVO I DRZAVU I SUDIJU I TUZIOCA!IZBORI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
srdjl;2015/11/21;0;2;"@SRKoprivica Ako je virus onda će kašalj proći kada se organizam izbori sa virusom. Antibiotici tu neće pomoći za taj kašalj, za to drugo ok";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hrtvijesti;2015/11/21;0;0;"Karamarko poručuje da će učiniti sve da se izbjegnu novi izbori http://bit.ly/1PFGggO ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
irupcic6;2015/11/21;0;2;"ovo su trebali biti pravi izbori, ispali pogrešni. Tko je kriv? pic.twitter.com/BEJoAsUjpq";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nikolacar88;2015/11/21;7;33;"Uništavaju me sopstveni izbori.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KratkeVijesti;2015/11/21;0;0;"SVAKE GODINE ISTA PRIČA: Izbori su prošli, a gdje su se sakrile božićne pjesme? http://ift.tt/1X43Zvn  #Vijesti #Hrvatska";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
time_makedonija;2015/11/21;0;0;"ВМРО ДПМНЕ започна со прибирање на идеи од охриѓани за престојните парламентарни избори | ТВМ http://bit.ly/1OWXLcq ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p4cov1;2015/11/21;0;3;"Samo ću reći da si izbori 1994 uspešno zavrseni";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zajebanimachor;2015/11/21;1;1;"@bela_sova svako treba da sebi ukrade i ispuni bar neke željice i da se za njih energično izbori ako treba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZSandra;2015/11/20;3;25;"Kada nekada pravi izbori postanu tako pogrešni.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vecernji_list;2015/11/20;0;3;"Neće reformsku vladu, a na sve pristaju http://bit.ly/1OjCTsK ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cpcp89;2015/11/20;0;10;"Ljubavni izbori mojih bivsih posle mene pic.twitter.com/WPClFNLfHm";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24sata_HR;2015/11/20;0;2;"Tajna snaga ⁰metkovskog dijela Mosta: Božo Petrov ih sluša... http://bitly.com/1Lrbalm  #izborihr #izbori2015";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFOMREJA;2015/11/20;0;0;"Експерт в "ГРАО";Дъбница е временният кмет до насрочване на новите избори в Хвостяне http://infomreja.bg/starshi;specialist;v;slujba;grao;;;dybnica;e;vremenniqt;kmet;do;nasrochvane;na;novite;izbori;v;hvostqne;26681.html … pic.twitter.com/r0ZCpYCopz";;;;;;;;;;;;
RatkoSimic;2015/11/20;0;2;"@johnnybstard Kaže u članku u travnju 1990 da je preuzelo Udbu po rjesenju FT.Izbori su bili 27.04 i 06.05.FT na vlasti 30.05 i posP.Jurića";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IlkoIlija;2015/11/20;1;2;"Анкетите ВМРО ги користи само да го оправда фалсификатот што го прави со изборите http://fokus.mk/fokus;express/30;0;lazhni;lichni;karti;za;pobeda;na;izbori/ …";;;;;;;;;;;;;;;;;;;;;;
m_budimlic;2015/11/20;1;0;"@EnisaPanjeta nisu izbori blizu";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
krdzoaco;2015/11/20;0;1;"@RevoltingCook @SutanovacDragan ulica će ih oterati. Izbori u aprilu će biti samo povod za bes.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
saramaddow;2015/11/20;0;1;"Ova iz MOST;a stalno spominje kako je dijete sa sela. U redu je, shvatili smo. #izboriHR #dnevnik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zorancicak;2015/11/20;9;16;"Anketa #malacvecara "Ako bi sutra bili izbori, da li biste dali Vučiću još jednu šansu da završi reforme?"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JovanGenevajn;2015/11/20;0;0;"Zatvori treba da se srede još dok si na vlasti, treba uvek misliti na vreme jer su izbori varljiva stvar (Boris zna)......)))666";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
balkan021;2015/11/20;0;3;"Nakon svih ovih reformi (koje nam inače nisu nužne ;)) ima da #HrvatskaRaste još većom brzinom nego do sada #respect #izboriHR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24sata_HR;2015/11/20;0;1;"HDZ i Most završili pregovore: Usuglasili se oko većine tema http://bitly.com/1MZTMcW  #izborihr #izbori2015";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vijestihr;2015/11/20;0;0;"Zahtjevi @NLmost: onemogućavanje privatizacije, promjena porezne politike.... Više: http://ow.ly/UTfXe  pic.twitter.com/3V1RxvHVIl";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LaleNbg;2015/11/20;0;1;"Ok, posle ovoga danas sa šefom #NATO moramo da se dogovorimo da više nema izlaska na izbore da glasate protiv. Ok? #Srbi #Srbija #izbori";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vecernji_list;2015/11/20;1;1;"HDZ nakon pregovora s MOST;om: U svih 14 točaka pregovora postigli punu fazu konsenzusa http://bit.ly/1PEtwHn ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vecernji_list;2015/11/20;0;1;"Pročitajte reformske zahtjeve Mosta za poljoprivredu, zaštitu okoliša i energetiku http://bit.ly/1PEsc77 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kizo2703;2015/11/20;0;1;"@_Jadranka_Kosor Pregovori samo formalnost? http://bit.ly/1lyTKhU  Dobro, iskreno, nebi me začudilo. @damir_djk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NZJustament;2015/11/20;0;0;"Izbori...a onda sutnja trajeeeeeeee i onda spasavanje preko mosta do otoka";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dasesmirim;2015/11/20;0;1;"covek uzeo apsolutnu vlast i onda kaze kako ne moze da se izbori i da sredi zemlju. mozes da farbas to malgradjanstvo, jer ne zna za bolje";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VlatkoVasilj;2015/11/20;9;10;"30.000 лажни лични карти за победа на избори! http://fokus.mk/fokus;express/30;0;lazhni;lichni;karti;za;pobeda;na;izbori/ …";;;;;;;;;;;;;;;;;;;;;;
azder;2015/11/20;0;3;"30.000 лажни лични карти за победа на избори! http://at.azder.mk/1HcFBRa ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vijestihr;2015/11/20;0;0;"Pregovarači @NLmost nakon sastanka: 'Razgovor s @SDPHrvatske bio je vrlo kontruktivan' http://ow.ly/USSEe  pic.twitter.com/DlfEP2WyOz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Irma_A_P;2015/11/20;0;1;"Prije dvije sedmice su bili izbori u Hrvatskoj...I to je to...Nakon toga nista vise...";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tportal;2015/11/20;2;6;"Kako je Darinko Kosor postao HDZ;ov trbuhozborac http://www.tportal.hr/vijesti/parlamentarni;izbori;2015/405380/Kako;je;Darinko;Kosor;postao;HDZ;ov;trbuhozborac.html …";;;;;;;;;;;;;;;;;;;;;
vecernji_list;2015/11/20;0;0;"Prijevremeni lokalni izbori u Glini 20. prosinca http://bit.ly/1PEaBfG ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andreas_Hz;2015/11/20;2;1;"во печатењето фалсификат лични карти била користена базата на податоци на МВР, а учествувале и полициски функционери http://fokus.mk/fokus;express/30;0;lazhni;lichni;karti;za;pobeda;na;izbori …";;;;;;;;;;;;;;;;;;;;;;
vecernji_list;2015/11/20;0;0;"Grčić se ne boji da se Most dogovorio s HDZ;om: Imamo 4 godine bogatog iskustva. To je korisno i za njih http://bit.ly/1PE8JU4 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hrtvijesti;2015/11/20;1;2;"Veljko Kajtazi: nacionalne manjine ne mogu odlučivati tko će sastaviti vladu #izboriHR http://bit.ly/1lyqpUA  pic.twitter.com/PY8BMpxoQA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barometar_hr;2015/11/20;2;1;"Hoće li reforma lokalne samouprave presuditi u pregovorima @NLMost sa @HDZ001 i @SDPHrvatske? http://bit.ly/1XdJJ5f  #izboriHR #politikahr";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
matildasochic;2015/11/20;0;2;"@adzo83 Odlicno, sledeci izbori ce za njih izgleda biti blok koji nece moci da preskoce. Blam zasta sam glasala. @PajticBojan @LokalniFront";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
krvopija;2015/11/20;0;5;"Cenim da bi se random odabir pokazao najbolji za vladu Srbije,kakvi crni izbori...";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vijestihr;2015/11/20;1;1;". @NLmost nastavlja pregovore sa @SDPHrvatske i @HDZ001: teme su energetika i zaštita okoliša http://ow.ly/UShVZ  pic.twitter.com/056fLmp5i8";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kbrecic;2015/11/20;1;1;"Stiglo 7 pregovarača @NLMost na razgovore u @SDPHrvatske. Kasnili 10 minuta #N1info #izboriHR pic.twitter.com/QuCc41bp5a";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdulabic;2015/11/20;0;1;"Čekam da vidim tko će biti struka. // Kovačić: U razgovorima s SDP;om i HDZ;om nema prijepora ; http://www.vecernji.hr/izbori2015/ivan;kovacic;obje;stranke;pristale;su;i;na;regionalizaciju;i;na;smanjenje;broja;zupanija;1038636 … via @vecernji_list";;;;;;;;;;;;;;
time_sport;2015/11/20;0;0;"Ѓоковиќ се избори за полуфинале против Надал на Мастерсот | А1 On http://bit.ly/217qfUL ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArisMovsesijan;2015/11/20;0;5;"Ovako se pisalo nekad o kubanskim vakcinama. Interesantan datum. Izbori? Vakcina protiv raka pluća uskoro u Srbiji http://www.novosti.rs/vesti/zivot_+.304.html:371676;Vakcina;protiv;raka;pluca;uskoro;u;Srbiji …";;;;;;;;;;;;;;;;;;;;;;;;
tportal;2015/11/20;0;0;"Sinčić: Javilo nam se nekoliko nezadovoljnih mostaša http://www.tportal.hr/vijesti/parlamentarni;izbori;2015/405423/Sincic;Javilo;nam;se;nekoliko;nezadovoljnih;mostasa.html …";;;;;;;;;;;;;;;;;;;;;;;
narodhr;2015/11/20;0;1;"#MladenMilić: Je li . @NLMost siguran da su moguće reforme bez vrijednosti? http://bit.ly/1MY5pB4  #politikahr #izboriHR . @VladaRH #izbori";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ODragicevic;2015/11/20;0;0;"Hajde vise izbori pa da se menja vrh DSa, ne mogu da gledam vise kako je urusavaju...";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nokia_je_keva;2015/11/20;0;1;"Da ne poznajem taj mladenovački tzv DS ... http://www.novosti.rs/vesti/beograd.74.html:577521;Izbori;kasne;DS;preti;;;satorima#.Vk4vmeMBsDc.facebook …";;;;;;;;;;;;;;;;;;;;;;;;
Lada_Niva_4x4;2015/11/19;0;4;"Ima resenja za sve ... uskoro ce izbori i sve ce konacno biti ok! @belilav11 @maleti_zoran";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FileXFile;2015/11/19;0;0;"Mozat da se smenat 100 vladi i opozicii, 200 sistemi i milion Izbori da se napravat, Narodot Makedonski sekogas ke ostane vo deminutiv.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TaciTanja;2015/11/19;0;0;"Izbori kasne, DS preti ; šatorima | Beograd | Novosti.rs http://www.novosti.rs/vesti/beograd.74.html:577521;Izbori;kasne;DS;preti;;;satorima …";;;;;;;;;;;;;;;;;;;;;;;
