izbori2015_user,count(*)
zdajvem,5
zemo323,5
ZoranPehar,5
ZrnicMario,5
zsprajc,5
_Anci_,5
_MMarko_,5
Ah_Nora,4
aleksandertusek,4
Alex_Marton,4
amelieM11,4
anatuk01,4
Anchi_88,4
anijaZam,4
AnteGugo,4
AntenaZgb,4
antonioivicevic,4
BankaMagazine,4
bernays_vskm,4
bobe_drama,4
BojciZg,4
BSevo,4
CepoDario,4
cesljugar,4
damir_car,4
danielrhamilton,4
Demb0ss,4
dgrubelic,4
diesel_RI,4
dinche_oreb,4
disident1,4
dkarlovi,4
DoraDecorti,4
dubrovacki,4
DzoooLaaa,4
ecancar,4
EncycloMediaC,4
esccroatia,4
FeelinSillin,4
fiksac,4
FleurNeda,4
FOrenik,4
formula4x6,4
GoloGuzi,4
gopenic,4
GordanaMikulin,4
GospodinKonj,4
hbbozhkov,4
hbujas,4
hitnapcsluzba,4
HrvojeZovko1,4
hvo102,4
H_Alter,4
igormiklousic,4
Ilija_Vidovic,4
imc_agencija,4
ioreski,4
Isixubio,4
IvaAmelie,4
Ivana___Croatia,4
ivucica,4
jartukovic,4
jasminkagriffin,4
Jelena_102,4
jezonja,4
KajKristina,4
karntna_bua,4
katbelic,4
kegnatz,4
KolindaGK,4
KPKeye,4
KristinaPrusina,4
lillylenz,4
livadicamala,4
LNikpalj,4
Lovorka,4
lucidichka,4
MalikSarajevo,4
MaliNosorog,4
Maria_Piaf,4
marijaboban,4
MarijanaVz,4
marijanpalic,4
marija_matovina,4
MarkoSket,4
MatteaMatea,4
MD_Croat,4
MedlobiMateja,4
mhdzst,4
MIBPivac,4
midzan21,4
Miro_zlikovski,4
missneanderthal,4
mperozic,4
mrkimedvjed,4
mrsoci,4
mvidakusic,4
n1k0la_z,4
neva_faded,4
niveanea,4
NJJ_Live,4
NSZVO,4
op_server,4
pazthegreat,4
PeceAcev,4
petarbogdan,4
Pizzajzla,4
polish_rainbow,4
PrviTV,4
RistaCarzi,4
rlicul,4
RobertKranjcec,4
samodarcy,4
saniiieee,4
sbsuzana,4
sembra04,4
SlobodarskaSrbi,4
SpahoA1,4
staff1129,4
strma,4
SVooDA,4
s_sandor,4
TeatarApsurda,4
Teklic,4
teskicentar,4
tetaLela,4
tinhorvatin,4
TinoMamic,4
tweetingpaula,4
tzombix,4
ursicdomen,4
vanlogike,4
VedranMorin,4
vekaban,4
VendetaHR,4
vickobilandzic,4
vidonism,4
vladoblazeka,4
VlatkaKalinic,4
vlija,4
VolimRH,4
VukusicMarija,4
zanyca81,4
zeljkagulan,4
zeljkakoricic,4
zeljko_reiner,4
ZiviZidd,4
zorankrusvar,4
10xsb,3
33woodward33,3
36d43000514741d,3
92cro,3
ahodzic6,3
AlenVelagic,3
alexandarmilic,3
allixsenos,3
alter_nacija,3
AnaBanana1308,3
AnaMisin,3
anamsaric,3
ana_krpan,3
anchica1984,3
AndreasAndy3131,3
AndrejevMajcan,3
Andritx,3
anetalalic,3
anteantea,3
antonioperic,3
APercan,3
ArduanaAJB,3
asjaba,3
avlajcic,3
ayhandemir34,3
BilicF,3
Biltenorg,3
BlagojevicVl,3
Bloger_Mile,3
braica_milo,3
cakmakdario,3
centyr,3
charlieborwn,3
Chilly_Owl,3
cirpetar,3
CIservice,3
citizenBru,3
cjphonedhome,3
crnipeter40,3
cruelvirtuela,3
DaKazemOtvoreno,3
damirmasic,3
damirpod,3
dancheslav,3
DarkoLabor,3
DarkoMrso,3
datomsic,3
dbcd4151bec5452,3
dbushaa,3
DeanSarcevic,3
DianaMSharpton,3
DJ_Baric,3
dpasaric,3
drazendurinic,3
drpproteus,3
DrugogSistema,3
dr_samuraj,3
DubrovnikPress,3
ElvisGolos,3
epicfaildrone,3
ErcegIva,3
ExpatinZagreb,3
eZadar,3
fabijanac,3
Fadil_Jonuz,3
FranJerkovic,3
free_RTV,3
f_vrban,3
gedora11,3
GFawkesCroatia,3
ggrudic,3
GIZUJP,3
GlobalNovine,3
GoranJedro,3
goran_maravic,3
gromilics,3
hahica,3
hatzivelkos,3
HDZ001,3
hinickam,3
HolidaysCro,3
hosigie903,3
hronopija,3
HrvojeZG95,3
Hrvoyay,3
idapandur,3
iHeyes,3
iivandic,3
ivan1410zg,3
IvanaDomitrovic,3
ivaNAtockice,3
IvanBajic,3
IvanG_Korcula,3
ivanszekeres,3
ivan_gustin,3
ivasterk,3
ivor_krapac,3
izitajger,3
i_anic,3
JankoBrlecic,3
jaroslav_pecnik,3
jheljic,3
JKolakusic,3
jokica125,3
josipmarijak2,3
KatanicTina,3
kikasulic,3
kmario,3
KonticJosip,3
KontraZla,3
kuhoja,3
KutnaLetva,3
kverkuskverkic,3
labincom,3
LanaJelic,3
lazhniko,3
ljutomir,3
LoncarAnaMarija,3
LPavlicic,3
luderibe,3
l_pancho_l,3
MactheMillan909,3
majazelmerloww,3
maja_mesko,3
mara_hara,3
marijan_pajk,3
MarijaPavelic,3
mario2804,3
MarioMiladin,3
markopadovan,3
MarkovIvana,3
marty84b,3
Matheos86,3
matijalg,3
matristik,3
mauzgavka,3
MelDyos,3
miha101,3
MilleniumPR,3
mirayatlas,3
mirzamustafagic,3
MissLoveChook,3
mkostro,3
Mladja_Dj,3
mmarko27,3
MoeVanHellen,3
moj_svijet,3
MPuksar,3
n0pliz,3
navijalic,3
navisodar,3
nbabajko,3
Nbizic,3
NezavisneBL,3
Nicole_IB,3
nidjevez_e,3
nijesam_bitan,3
NikolaStolnik,3
nikola_biga,3
nk472893,3
nlovre,3
oresk,3
pibernick,3
picek,3
predragkezic,3
Profesor_Woland,3
RadioStudent1,3
rastco94,3
realblikmeister,3
riandegtiar,3
robinicapar,3
RusoAnita,3
sajdlija,3
SaMoRiTwt,3
SandroVrbanus,3
SanjinSpanovic,3
Setka_i,3
Shrvoj,3
sinisa_bogdanic,3
SKlompica,3
slaven_raguz,3
SlavicaSlatinac,3
SleepingSun7,3
Snejkicaa,3
ssuljic,3
steinbuch,3
StipeCorluka,3
stipetafra,3
SuziNaPruzi,3
SvemirTorac,3
TaoOwner,3
TheMarkoPrpic,3
TheRiverSharks,3
tinzaja,3
Tixtee,3
TMoens,3
TomislavPlese,3
tzvNLmost,3
UkiPajp,3
vahlc,3
Vanexasha,3
VedranBabic,3
viktor_bublic,3
vj3ran,3
VojkovicVis,3
WhyNotMe_E,3
wxmario,3
zagi988,3
Zarkica,3
ZeljkoPa,3
zgnadbiskupija,3
zizaCAR,3
zopster,3
zvonimirovic,3
_ladjevic,3
_StefanTesic_,3
035portal,2
1azra,2
1nekorektna,2
21d110,2
2shaq,2
44bdab91c4354a0,2
74Dodjoska,2
9Goran9,2
AbdulaAsanovski,2
acikaus,2
AdmanPolly,2
adriancija,2
akospapp,2
alexbelgrade,2
alikante1,2
AlterAnthony,2
amademozart,2
Ambaksijator,2
ambasador_ba,2
amela_pasalic,2
amikic,2
AnaLaca,2
AnaMarvolo,2
AnaPavKas,2
ana_bobic,2
ana_esplanada,2
AnitaRapan,2
AnkaBilic,2
AnnaBellini,2
AntonijaPetko,2
aracic_edvard,2
asdfghjkl969696,2
azradz,2
babic_tea,2
Baltazarka,2
Baranikola,2
baron_harkonen,2
batak_23,2
beardypizzaguy,2
behemont2011,2
BGDopisnikAJB,2
bibaZG,2
BiHIrishcoffee,2
biljaic,2
blackbird1965,2
bmarasovic,2
BobLebowski,2
bogjak,2
BORISFILIPOVI,2
BorisKrcmar,2
BorisMorovic,2
boris_babun,2
BorkoRacic,2
boskovicmarko,2
boyanowsky,2
BozinovskiV,2
bplavljanic,2
BrankovAchich,2
branko_branko,2
Brengio,2
BrunoPetrusic,2
Brut72,2
bsinjeri,2
cafemontenegro,2
CallMeTheFixer,2
capri_corna,2
CarobnicaIzVoza,2
CEDIMzg,2
cedomirarnaut,2
Centar_MODUS,2
cesenj,2
christotzenov,2
chromkat,2
cipiripi1978,2
ColecionarSaci,2
Crnojevac,2
cro3x3,2
CroCvet,2
CroHammer1,2
curlyBarbara,2
CurvaOvest,2
Dacko3,2
dadijenaumpalo,2
dalmatin,2
dalmatirac,2
DamirKajin,2
DamirSmrtic,2
DanielTomicic,2
Danny_Aga,2
DarijaBR,2
davortrbusic,2
DCernoga,2
DegrassiWines,2
DejanBu,2
DHodja,2
dignitasSch,2
dimobe,2
dinodobosic,2
dinoilic,2
dmalovic,2
dmilenkovic,2
dobreideje,2
DokiCRO,2
DoktorTko,2
dolymary,2
domizg,2
Domovina_je,2
DomyProzdrnut,2
donHrvoje,2
DoraDreams42,2
dorajurke,2
dpasalic177,2
Draganic_J,2
drazenjurman,2
DrazenMajic,2
drmalway,2
drMrsic,2
drobnjakN,2
drpetric,2
DubrovnikPartne,2
DubrovnikTimes,2
dujuric,2
DunjaSkrebljin,2
duratbey,2
dzenetakarabeg,2
dzhecki,2
ECejvan,2
emilianiahuxley,2
emma_zara,2
enisabegtasagic,2
ermina02061445,2
evichs,2
evroslinavac,2
fantonnikola,2
farukgaric,2
filipkuster,2
FilipMadarac,2
filmaktiv,2
Flashenzug,2
fortune_13,2
FRANKO_CRO,2
franokiso,2
Friedrich69,2
FrontSlobode,2
GagicSandra,2
geniusoffboard,2
GioGrlj,2
GlasHrvatske,2
glavahead,2
Glupinickname,2
GorankaLovric,2
h2cel,2
hajdarovicm,2
HajdukovaMala,2
Hamiltonman,2
hdoresic,2
HDZmladez,2
HeroinaUlice,2
hgk,2
hiljaduzato,2
HRHZagreb,2
hrizbornici,2
HrvatBomoljub,2
HydrusHR,2
ibegich,2
ibirus,2
Igor10Matijevic,2
igorpejicw,2
IgorZavrsnik,2
igor_zoric,2
iimi0625,2
in0fluenca,2
inasuxtoo,2
IrfanCengic,2
IvanaGlavash,2
ivanapreiss,2
ivanhruskovec,2
IvanSkorin,2
ivan_baketa,2
Ivan_Boto,2
Iva_Konstanca,2
Iva_T,2
IvBuljan,2
Ivka_pivka,2
IvonaLenard,2
iv_matessa,2
izrinusic,2
JankoHavas,2
jelebar,2
Jelena1951,2
jherceg,2
jjovancic,2
jklicinovic,2
JLukica,2
JoannLandry16,2
Joefrig,2
josipovicmarko1,2
JozoGazda,2
jozorados,2
Jura1802,2
kalliope_k,2
Kapich_T,2
karlolac,2
Karmelic,2
kar_AKT_er,2
KatTvit,2
kbabi42,2
kbogovic,2
Kboyaobir,2
kikisimicic,2
KnezBokePrvi,2
knezzovic,2
kobradado,2
kokek1,2
Kralj_Ponoci,2
kresoz,2
KristijanOrlic,2
lazdan,2
Levacic64,2
little_clovis,2
LJogun,2
ljstimac,2
lmuzinic,2
lucijacec,2
LucijaGolubic,2
Lucy_zg,2
LukaZanoni,2
LupusYU,2
M3d0,2
m5ajan,2
MacaDiskretna,2
MajaPleic,2
maja_breganja,2
maja_hp,2
maledictus,2
malislavonac,2
Mara09293751,2
MarinelaVI,2
MarinKnezovic,2
mario365net,2
markok87,2
Marko_Dzare,2
marquanito,2
MartinaCosic_,2
MaruskaMileta,2
maurinhofiume,2
mdunjic,2
MentalTwat,2
mesnica_,2
MetroPortal,2
mihajlovic2010,2
MijoOst,2
milan_matich,2
MilaPerovic,2
MirelaBacic,2
MirkaKroKop,2
mirna_jukic,2
mirobenak,2
miss_elliep,2
mjalza,2
mlegesse20,2
MocniMis,2
monikacuturic,2
Mrva051,2
MrWux,2
munja90,2
MurticAlen,2
m_vanbailey,2
narkeviciute,2
NavadniNimda,2
nemirna,2
NenaBlazevic,2
nenoradic,2
NeraValentic,2
NevenaTrajkov,2
nikolamm,2
NikolaPejda,2
nikolina_k,2
ninak33,2
NKRijeka,2
notdurch,2
novak_nikola,2
NoviValHR,2
novi_pogledi,2
npesic82,2
NZanme,2
N_Tomic,2
osanchezbenitez,2
pavaol,2
Peingou,2
petite_pe,2
petkodenev,2
petrakm,2
PetraNikic,2
Petranotti,2
PIXSELL,2
Pjanoocap,2
pjerorlic,2
PohlepnaJetra,2
Porec11,2
PoropatAndrej,2
p_zoran,2
RainbowCroatia,2
rankovucinic,2
raosivan1,2
RenatoPetek,2
Ridjobrki,2
robigroza,2
RockAsReligion,2
romandolenc,2
rron007,2
RTLDanas,2
SafetAlibeg,2
sandrodphoto,2
saragrepo,2
Sarmagedon,2
SchlagerKaty,2
Schmidt92Lars,2
Schorax,2
shenuo,2
ShitGrownupsSay,2
siennabelic,2
SikretK,2
skljuc,2
sokollum,2
StanicM,2
starefotke,2
stasiotes,2
Stefan_Visoki,2
StevicAnja,2
stevilka2,2
stihoklepac,2
StjepkoHr,2
susanagmz90,2
Sven_Milekic,2
svilenovcharov,2
TamaraBabun,2
Thaumantis,2
theinkognito,2
timhrvacanin,2
TI_Croatia,2
tmijalko,2
tnovotni,2
tommypavlovic,2
tomonicota,2
tomsicdavor,2
tonijelenovic,2
tonko_bonko,2
totalcroatia1,2
Tschirkozy,2
Tuvixer,2
tzdujmovic,2
Ultimate8895,2
ury1974,2
USKNKomuna,2
vanja1986,2
vanjauzelac,2
Varonte,2
VBatarelo,2
vedranmarcinko5,2
VedranVisnjic,2
VelikiMo,2
VersicAJB,2
VesnaMimica,2
vierdinica,2
Vijecestudenata,2
VitezLazar,2
VkaoSelena,2
vkokanov,2
vord_loldemort,2
Vuk_Oreb,2
Vurmashin,2
WYAcroatia,2
XhabirDeralla,2
YanniKouts,2
yvan_ri,2
ZdenkoMe,2
zelenite,2
ZgMagazin,2
zg_mihael,2
zimmie6,2
zimoonline,2
Zlatadjerek,2
zlatkotomsic,2
zmajame,2
zmilosavljevic,2
ZoranLorkovic,2
Zoran_Vilovic,2
ZoriStancheva,2
zpucaric,2
ZucaLackland,2
ZVONOeu,2
_Lovro,2
_tribunusplebis,2
010byday,1
12aeyb,1
1878cro,1
1devet2jedan,1
1djubreobicno,1
23Danijel,1
2dario5,1
4Marlena,1
9A3XV,1
abdic88,1
ab_testing,1
AdisaSehic,1
AdisKaradza,1
adzo37,1
adzo83,1
afamiro,1
afcroatia,1
Agathung,1
AHK_Kroatien,1
ahorreenergiaya,1
aikaralazos,1
AJBSimic,1
ajitamxy,1
Ajvarosa,1
akeglovichorvat,1
akoristovic,1
alan6163,1
Alanamak,1
AlanEderKralj,1
AlanMaricic,1
alasdemariposaM,1
AldoMorro,1
AlekArabadzic,1
AleksCuracSaric,1
alemperka,1
AlenAndrakovic,1
