lda,nrDocuments
0,843
1,755
2,989
3,980
4,1210
5,857
6,1272
7,1012
8,798
9,893
10,882
11,648
12,898
13,912
14,763
15,827
16,794
17,717
18,887
19,784
20,786
21,831
22,885
23,929
24,1275
25,1186
26,1030
27,881
28,663
29,2026
